name,cumulative_distance_km
Thambalagamu,275.08
Thambuttegama,178.96
Thellipalai,409.46
Thelwatta,91.98
Thembiligala,130.87
Thilladiya,132.26
Thimbiriyagedar,132.93
Thiranagama,97.89
Thirukethiswara,300.43
Thismalpola,78.95
Thoddaveli,316.84
Thudella,23.93
Thummodara,59.32
Train Holt 1,36.06
Tricomalee,296.91
Udahamulla,13.42
Udathalawinna,128.78
Udaththawala,141.77
Uduwara,283.22
Uggalla,40.76
Ukuwela,143.02
Ulapane,134.31
Unawatuna,119.53
Vandaramulle,335.17
Vavniya,254.36
Veyangoda,37.48
Wadduwa,32.47
Waga,46.30
Waikkala,46.65
Walachchena,319.13
Walahapitiya,65.16
Walakumbura,69.78
Walgama,154.10
Walpola,18.12
Wanawasala,8.68
Wandurawa,39.33
Watagoda,194.30
Watareka,33.16
Watawala,162.10
Wattegama,132.89
Weddikulam,252.24
Weherahena,160.77
Weligama,142.83
Welikanda,286.01
Wellawa,105.00
Wellawatta,7.25
Wewurukannal,174.27
Wijaya Rajadaha,49.10
Wilwatta,52.11
Yagoda,24.32
Yatagama,82.56
Yattalgoda,59.85
